iter	Passed	Remaining
0	172	172369
1	184	92157
2	197	65544
3	209	52156
4	220	43959
5	230	38172
6	240	34168
7	251	31226
8	263	28960
9	274	27141
10	284	25608
11	295	24315
12	306	23298
13	318	22399
14	329	21607
15	340	20935
16	351	20307
17	361	19701
18	371	19178
19	382	18722
20	393	18344
21	403	17943
22	414	17622
23	424	17283
24	435	16989
25	446	16735
26	457	16493
27	468	16247
28	479	16048
29	489	15826
30	500	15654
31	512	15498
32	523	15333
33	534	15180
34	544	15024
35	555	14865
36	566	14737
37	577	14613
38	587	14468
39	598	14369
40	610	14273
41	619	14136
42	630	14033
43	642	13951
44	653	13867
45	664	13774
46	675	13702
47	686	13606
48	697	13541
49	709	13481
50	721	13423
51	732	13349
52	744	13294
53	754	13221
54	763	13124
55	773	13039
56	782	12943
57	790	12836
58	798	12731
59	806	12632
60	813	12525
61	821	12427
62	827	12314
63	834	12207
64	841	12100
65	847	11995
66	853	11886
67	859	11780
68	864	11669
69	869	11555
70	874	11443
71	880	11346
72	885	11245
73	890	11149
74	896	11057
75	901	10965
76	907	10876
77	912	10791
78	918	10709
79	924	10627
80	930	10551
81	936	10479
82	941	10404
83	947	10333
84	954	10273
85	961	10220
86	969	10175
87	976	10124
88	984	10075
89	991	10022
90	998	9978
91	1006	9930
92	1013	9885
93	1021	9842
94	1028	9799
95	1035	9748
96	1042	9702
97	1048	9651
98	1055	9604
99	1062	9562
100	1068	9514
101	1075	9469
102	1082	9425
103	1088	9377
104	1094	9332
105	1100	9284
106	1107	9245
107	1115	9211
108	1122	9174
109	1129	9137
110	1136	9102
111	1144	9076
112	1151	9041
113	1160	9016
114	1168	8991
115	1178	8978
116	1187	8964
117	1197	8953
118	1207	8942
119	1218	8933
120	1229	8933
121	1240	8930
122	1250	8918
123	1260	8906
124	1271	8899
125	1283	8902
126	1294	8898
127	1305	8896
128	1316	8889
129	1327	8881
130	1337	8870
131	1347	8862
132	1358	8855
133	1368	8846
134	1379	8837
135	1389	8825
136	1399	8815
137	1410	8810
138	1421	8805
139	1432	8801
140	1444	8800
141	1455	8794
142	1466	8790
143	1476	8778
144	1487	8770
145	1498	8763
146	1508	8752
147	1518	8742
148	1527	8721
149	1535	8701
150	1544	8683
151	1552	8661
152	1560	8636
153	1567	8611
