iter	Passed	Remaining
0	167	167261
1	180	89829
2	191	63767
3	205	51253
4	218	43555
5	229	38028
6	241	34245
7	253	31387
8	264	29158
9	276	27355
10	288	25965
11	301	24817
12	312	23707
13	323	22792
14	335	22001
15	345	21254
16	356	20642
17	369	20138
18	381	19683
19	394	19345
20	406	18933
21	417	18562
22	429	18246
23	438	17852
24	448	17509
25	457	17143
26	466	16825
27	476	16555
28	484	16234
29	494	15996
30	502	15701
31	511	15480
32	519	15211
33	527	14991
34	534	14737
35	542	14516
36	549	14302
37	559	14158
38	566	13955
39	575	13812
40	581	13607
41	590	13468
42	597	13301
43	606	13184
44	613	13020
45	622	12900
46	628	12753
47	636	12632
48	644	12509
49	651	12384
50	659	12271
51	665	12135
52	674	12046
53	679	11906
54	687	11817
55	693	11691
56	700	11595
57	706	11479
58	712	11361
59	720	11281
60	726	11189
61	734	11106
62	739	11004
63	746	10911
64	753	10835
65	758	10738
66	766	10670
67	771	10579
68	777	10494
69	785	10432
70	791	10355
71	798	10296
72	804	10218
73	810	10143
74	817	10088
75	824	10025
76	831	9969
77	837	9901
78	845	9854
79	851	9796
80	864	9805
81	872	9767
82	881	9742
83	888	9688
84	896	9654
85	904	9608
86	911	9566
87	918	9522
88	925	9475
89	932	9427
90	939	9381
91	946	9340
92	952	9289
93	959	9247
94	965	9201
95	971	9148
96	978	9113
97	1000	9211
98	1018	9270
99	1056	9511
100	1066	9492
101	1081	9524
102	1097	9561
103	1108	9551
104	1114	9500
105	1122	9469
106	1130	9433
107	1136	9388
108	1144	9351
109	1150	9305
110	1158	9281
111	1165	9243
112	1173	9213
113	1179	9166
114	1185	9123
115	1192	9090
116	1198	9048
117	1207	9022
118	1213	8980
119	1220	8947
120	1226	8913
121	1232	8869
122	1239	8840
123	1245	8801
124	1253	8771
125	1259	8734
126	1265	8696
127	1274	8680
128	1280	8642
129	1288	8621
130	1294	8584
131	1301	8558
132	1307	8523
133	1313	8486
134	1321	8468
135	1327	8432
136	1334	8407
137	1340	8375
138	1347	8344
139	1355	8324
140	1360	8289
141	1368	8271
142	1374	8238
143	1382	8218
144	1389	8191
145	1394	8159
146	1402	8140
147	1417	8158
148	1425	8139
149	1435	8134
150	1440	8102
151	1450	8094
152	1456	8065
153	1467	8063
154	1473	8035
155	1483	8027
156	1489	8000
157	1500	7994
158	1506	7966
159	1515	7957
160	1529	7971
161	1538	7956
162	1548	7952
163	1554	7925
164	1564	7917
165	1570	7889
166	1579	7880
167	1585	7853
168	1595	7846
169	1602	7821
170	1610	7809
171	1617	7785
172	1623	7761
173	1630	7738
174	1635	7711
175	1643	7693
176	1648	7666
177	1655	7645
178	1662	7626
179	1668	7603
180	1676	7585
181	1681	7558
182	1689	7541
183	1695	7518
184	1700	7493
185	1708	7476
186	1714	7451
187	1720	7432
188	1727	7413
189	1733	7389
190	1741	7374
191	1747	7353
192	1754	7338
193	1761	7316
194	1767	7297
195	1774	7280
196	1780	7258
197	1788	7246
198	1794	7223
199	1801	7206
200	1808	7187
201	1813	7165
202	1821	7151
203	1827	7130
204	1834	7114
205	1840	7094
206	1849	7084
207	1855	7066
208	1861	7045
209	1868	7030
210	1874	7010
